client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
1,2.542626,0.200402,107.568580,0.103200,1,0.0
0,2.589488,0.173241,80.317454,0.102400,2,1.0
4,2.569067,0.159323,50.352496,0.122600,3,2.0
3,2.603918,0.175665,15.908250,0.122000,4,3.0
2,2.604921,0.182432,117.381796,0.100100,5,4.0
4,4.083334,0.097561,2.302805,0.121600,6,0.0
1,3.840883,0.093976,6.522757,0.100400,7,1.0
0,3.514817,0.098608,2.305202,0.100000,8,2.0
3,4.066611,0.106769,2.551297,0.098900,9,3.0
2,3.980390,0.096979,2.303811,0.100000,10,4.0
4,2.378563,0.086153,2.293657,0.115000,11,2.0
1,2.267755,0.140562,3.721627,0.111800,12,2.0
0,2.300951,0.106342,2.353000,0.114300,13,2.0
3,2.302979,0.101128,2.286143,0.134600,14,3.0
2,2.306247,0.098967,2.281073,0.107200,15,4.0
4,2.269507,0.141621,2.241834,0.168900,16,4.0
